CurrentRun,Generation,ID,p1,p2,P1Training,P1Unseen,P2Training,P2Unseen,trainingTheta,UnseenTheta,reconTrainingError,reconUnseenError,LowestDistance
1,1,51,,,38.38188581,381.7575110688812,390.0753129831212,387.41407661596634,0.39458865422583855,0.40898772293051155,166.8680695209044,169.73976731886393,100.20626072007683
1,1,100,100,,383.6097694932464,380.9911109595839,376.8207887315526,374.2487809872244,0.49000923455867373,0.5078922407232982,166.86812024657723,169.73980928878407,119.96827484869749
1,1,102,20,29,387.1536553336964,384.5114428184337,380.89971321176273,378.2994312042722,0.4414694101817806,0.45758063070242433,166.86810408859628,169.73979591982177,110.26387701728643
1,1,118,27,10,385.15002524250605,382.5210641261046,378.28480446762296,375.7025618866082,0.49117816684670734,0.5091038819584884,166.86811438838657,169.7398044417709,121.20638300102814
1,1,119,1,71,382.36117586854925,379.7509440339035,390.05835957938643,387.39723259345124,0.5365694632487885,0.5561501659529571,166.8680695826187,169.7397673699256,135.53951063678196
1,1,120,120,,384.9801410613692,382.35231130647963,394.5913950429923,391.9014308386586,0.6564836269048556,0.6804365248494582,166.86805335054103,169.73975393968166,168.90529484520437
1,1,123,92,65,378.49346787589343,375.9097744983248,384.2293446037644,381.6065295933846,0.41121918202611235,0.4262268350147338,166.86809126827353,169.73978531241238,101.28881380045716
1,1,139,65,42,388.63813038086465,385.98620811309854,382.4584896298245,379.8475985950448,0.4324056972526713,0.44818560108060673,166.8680980463223,169.73979092050286,108.85789415815874
1,1,141,55,71,389.08257674885215,386.427765095735,383.3181071597179,380.70141099394885,0.4018395821243618,0.4165037643736751,166.86809474473313,169.73978818880045,101.50634764383196
1,1,142,13,75,391.0050328524786,388.3378158466109,384.33106093742146,381.70756512872885,0.4613507231973039,0.47818569485517703,166.8680908816981,169.73978499256373,117.42410940126449
1,1,144,27,62,394.62197831517983,391.93182230497365,387.3557888615104,384.71224884359793,0.4928893606958486,0.5108721939030881,166.86807952002775,169.73977559203334,127.60812789910878
1,1,146,95,95,382.04350562935235,379.4354285608137,389.9305283392705,387.27022647984194,0.5505116310483079,0.570601239479133,166.8680700482021,169.73976775514436,138.9001793467738
1,1,150,69,54,382.9316612996012,380.31757089355614,376.52383610477017,373.9539163324622,0.46381849141762377,0.4807456131272887,166.8681214429882,169.73981027868365,113.26611283278059
1,1,157,29,69,378.5357078436853,375.9517210199628,385.3161222861547,382.686056214702,0.48451973207064086,0.5022024373485016,166.86808715322786,169.739781907665,119.6942414051645
1,1,158,2,51,388.2142099880264,385.5650512302152,380.0985221784201,377.50373481751785,0.572494478973789,0.5933872072647907,166.86810722238815,169.73979851269127,143.07857803003574
1,1,163,13,63,390.78099992234195,388.11522087075247,384.10919749523663,381.4871872136778,0.46178986172769604,0.47864100620654804,166.86809172527813,169.73978569053344,117.40072216909414
1,1,165,51,29,385.28745693023023,382.6575814704873,379.2912452463393,376.7020232306148,0.42756557716557975,0.4431697324081965,166.8681103995591,169.7398011414524,105.82769129130565
1,1,179,75,16,390.39119112906957,387.7279188859086,384.37279393710077,381.74901893318275,0.4167075658201949,0.43191368106647504,166.8680907231771,169.7397848614051,105.90662714505805
1,1,182,98,26,390.36521734956136,387.7021123584093,384.4463748154544,381.82210773447974,0.40975758604630647,0.4247100792790234,166.86809044380382,169.73978463025446,104.15331912141004
1,1,205,40,64,386.38697034265664,383.7498085063032,379.8727065720128,377.27947303947406,0.4622471754496043,0.4791168841514013,166.86810810913474,169.73979924637695,114.9140282143845
1,1,208,38,15,383.421280846561,380.8038900857537,375.9637140441918,373.397743771699,0.539931515646778,0.5596363029961746,166.86812370726872,169.73981215212885,131.82486184846834
1,1,223,14,65,387.8172224332663,385.17065833657165,380.7975343363144,378.19795149627436,0.4947303034221736,0.5127851139704451,166.86810448719052,169.73979624961484,123.74488755214192
1,1,227,23,63,387.2874943695895,384.64440268228685,379.57932715770625,376.9881157628872,0.5460228380367188,0.5659497721098197,166.8681092634983,169.73980020148642,135.951245157515
1,1,234,23,71,386.2368293088686,383.60065943891595,379.9449516636726,377.3512207677308,0.44656505407549385,0.46286246359537214,166.8681078252702,169.73979901151017,110.99352111011245
1,1,237,10,20,385.05625828132145,382.4279214640653,391.6973932841645,389.0257451016907,0.45722378719908885,0.4739076668405684,166.868063651506,169.73976246258675,116.79977465270684
1,1,238,69,69,385.7100644292977,383.07738234727105,379.4031051659245,376.81311024755837,0.44902840024216956,0.4654157984853377,166.86810995813602,169.7398007762231,111.29461378358224
