CurrentRun,Generation,NumGens,NumRuns,popSize,trainingTheta,UnseenTheta,reconTrainError,reconUnseenError,depth,depthLimitOn,maxDepth,crossoverProb,k,ID
1,1,500,10,100,0.32628387052421093,0.3442933636222421,31.581633042298456,33.79040719155639,0,true,17,0.0,1.0131148950808393,186
1,2,500,10,100,0.32628387052421093,0.3442933636222421,31.581633042298456,33.79040719155639,0,true,17,0.0,1.0131148950808393,299
1,3,500,10,100,0.29178907394457976,0.2973029878894373,38.286062070352564,42.427482509913865,0,true,17,0.0,1.0101010101010102,457
1,4,500,10,100,0.29178907394457976,0.2973029878894373,38.286062070352564,42.427482509913865,0,true,17,0.0,1.0101010101010102,457
1,5,500,10,100,0.29178907394457976,0.2973029878894373,38.286062070352564,42.427482509913865,0,true,17,0.0,1.0101010101010102,457
1,6,500,10,100,0.29178907394457976,0.2973029878894373,38.286062070352564,42.427482509913865,0,true,17,0.0,1.0101010101010102,457
1,7,500,10,100,0.29178907394457976,0.2973029878894373,38.286062070352564,42.427482509913865,0,true,17,0.0,1.0101010101010102,457
1,8,500,10,100,0.29178907394457976,0.2973029878894373,38.286062070352564,42.427482509913865,0,true,17,0.0,1.0101010101010102,457
1,9,500,10,100,0.29178907394457976,0.2973029878894373,38.286062070352564,42.427482509913865,0,true,17,0.0,1.0101010101010102,457
1,10,500,10,100,0.2450031955196712,0.2650177535131276,31.226480976808517,34.35809949932593,0,true,17,0.0,0.9899327725414682,1279
1,11,500,10,100,0.2450031955196712,0.2650177535131276,31.226480976808517,34.35809949932593,0,true,17,0.0,0.9899327725414682,1320
1,12,500,10,100,0.24442646606631352,0.26453534915144694,31.17095284714518,34.31688527912677,0,true,17,0.0,0.9899368173208702,1435
1,13,500,10,100,0.24440736242392494,0.2645263475930997,31.169419294279827,34.31685148868268,0,true,17,0.0,0.9899368173208702,1581
1,14,500,10,100,0.24440736242392494,0.2645263475930997,31.169419294279827,34.31685148868268,0,true,17,0.0,0.9899368173208702,1581
1,15,500,10,100,0.2443279299662954,0.2644773482439952,31.159971018817142,34.311270093632,0,true,17,0.0,0.9899368559930113,1903
1,16,500,10,100,0.24432769735825555,0.2644773482439952,31.159952363215947,34.311270093632,0,true,17,0.0,0.9899368559930113,2019
1,17,500,10,100,0.24432769735825555,0.2644773482439952,31.159952363215947,34.311270093632,0,true,17,0.0,0.9899368559930113,2019
1,18,500,10,100,0.24432769735825555,0.2644773482439952,31.159952363215947,34.311270093632,0,true,17,0.0,0.9899368559930113,2172
1,19,500,10,100,0.24432768891965762,0.2644773482439952,31.15995148009615,34.311270093632,0,true,17,0.0,0.9899368559930113,2322
1,20,500,10,100,0.24393680468724108,0.2643841807788083,31.117300761914297,34.30827750170401,0,true,17,0.0,0.9899368559930113,2425
1,21,500,10,100,0.24362064684140908,0.2645191865639248,31.082887200200744,34.316104492915464,0,true,17,0.0,0.9899368443444827,2609
1,22,500,10,100,0.24357061967023838,0.26404938700285707,31.11632436004015,34.3040006907437,0,true,17,0.0,0.9899570442972313,2761
1,23,500,10,100,0.24316945425826053,0.2642336976079645,31.04066175379272,34.313378437888105,0,true,17,0.0,0.9899368559930113,2939
1,24,500,10,100,0.2431692885373235,0.26423359828500254,31.04064474269638,34.31336631912288,0,true,17,0.0,0.9899368559930113,3009
